SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/106/0008,"Rem. of Farm 1364, Wellington District",,Wellington,Wellington,National Monument,,
9/2/106/0006,"Welvanpas, Wellington District",,Wellington,Wellington,National Monument,,
9/2/106/0001,"Doolhof, Wellington District",,Wellington,Wellington,,-33.626054, 19.083880
9/2/102/0016,"PAPENDORP LOCAL AREA GENERAL, Vredendal District",,Papendorp,Vredendal,,,
9/2/102/0015,"KOEKENAAP LOCAL AREA GENERAL, Vredendal District",,Koekenaap,Vredendal,,,
9/2/102/0014,LUTZVILLE MUNICIPAL AREA GENERAL,,Lutzville,Vredendal,,,
9/2/102/0013,EBENHAESER HISTORICAL RURAL SETTLEMENT,,Ebenhaeser,Vredendal,,,
9/2/102/0012,"Corrugated iron Fort and Dovecote, Farm Graafwater",,Vredendal,Vredendal,,,
9/2/102/0011,"Meerhoff's Castle, Vredendal Dist",,Vredendal,Vredendal,,,
9/2/102/0009,"Vlermuisklip, Lutzville, Vredendal District",,Vredendal,Vredendal,,-31.557739, 18.341567
9/2/102/0008,"Van Zyl House, Vredendal",,Vredendal,Vredendal,,,
9/2/102/0007,"Brand se baai, Vredendal District",,Vredendal,Vredendal,,,
9/2/102/0006,"Jerusalom, Farm Hollebaks, Vredendal District",,Vredendal,Vredendal,,,
9/2/102/0004,"Anglo-Boer War blockhouses, Klipfontein, Vredendal District",,Vredendal,Vredendal,,,
9/2/102/0002,"Heerenlogement Cave, Graafwater, Vredendal Dist (See 9/2/097/0003; 9/2/022/0037)",,Vredendal,Vredendal,,-31.961755, 18.549689
9/2/102/0001,"VREDENDAL MAGISTERIAL DISTRICT, GENERAL",,Vredendal,Vredendal,,,
9/2/101/0016,"Cape Columbine Lighthouse, Castle rock, Paternoster, Vredenburg",,Vredenburg,Vredenburg,,,
9/2/101/0015,"Alpha Saldanha Cement Project, Saldanha",,Saldahna,Vredenburg,,,
9/2/101/0014,"SALDANHA MUNICIPAL AREA, GENERAL",,Vredenburg,Vredenburg,,,
9/2/101/0013,"PATERNOSTER LOCAL AREA, GENERAL",,Vredenburg,Vredenburg,,,
9/2/101/0012,"Kasteelberg, Vredenburg District",,Vredenburg,Vredenburg,,-33.370698, 18.857704
9/2/101/0011,"Varswaterbaai, Vredenburg ",,Vredenburg,Vredenburg,,,
9/2/101/0010,"Grave of Lt Simeon W Cummings, Kliprug, Vredenbrug District",,Vredenburg,Vredenburg,,,
9/2/101/0008,"Die Krans rock shelter, Vredenburg District",,Vredenburg,Vredenburg,National Monument,,
9/2/101/0006/2,"Varswaterbaai, Vredenburg District",,Vredenburg,Vredenburg,,,
9/2/101/0006/1,"Coastal Archaeology, Vredenburg Magisterial District",,Vredenburg,Vredenburg,,,
9/2/101/0006,"VREDENBURG MAGISTERIAL DISTRICT, GENERAL",,Vredenburg,Vredenburg,,,
9/2/101/0005,"Besterskraal farm, Varswater Bay, Vredenburg District",,Vredenburg,Vredenburg,National Monument,,
9/2/101/0004,"Hoedjiespunt, Saldanha, Vredenburg District",,Vredenburg,Vredenburg,,,
9/2/101/0003,"ST HELENA BAY, GENERAL",,Vredenburg,Vredenburg,,,
9/2/101/0002,"Grave of gunner Jeffries, Abandoned Cemetery, Saldanha, Vredenburg",,Vredenburg,Vredenburg,,,
9/2/101/0001,"VREDENBURG MUNICIPAL AREA, GENERAL",,Vredenburg,Vredenburg,,,
9/2/097/0013,"Windhoek Farm, Klawer, Vanrhynsdorp Dist",,Klawer,Vanrhynsdorp,,,
9/2/097/0012,"Grave of Lemuel Colyn, Farm Onder-Aties, Vanrhynsdorp Dist",,Vanrhynsdorp,Vanrhynsdorp,,,
9/2/097/0010,"Van Rhyn Museum, Van Riebeeck Street, Vanrhynsdorp",,Vanrhynsdorp,Vanrhynsdorp,,-31.609100, 18.735838
9/2/097/0009,"Rock Paintings, Vanrhynsdorp District",,Vanrhynsdorp,Vanrhynsdorp,,,
9/2/097/0008,"VANRHYNSDORP MAGISTERIAL DISTRICT, GENERAL",,Vanrhynsdorp,Vanrhynsdorp,,,
9/2/097/0007,"Municipal cemetery, Vanrhynsdorp",,Vanrhynsdorp,Vanrhynsdorp,,,
9/2/097/0006,"St Theresa Roman Catholic Church, Vanrhynsdorp",,Vanrhynsdorp,Vanrhynsdorp,,,
9/2/097/0005,"VANRHYNSDORP MUNICIPAL AREA, GENERAL",,Vanrhynsdorp,Vanrhynsdorp,,,
9/2/097/0004,"44 Voortrekker Street, Vanrhynsdorp",,Vanrhynsdorp,Vanrhynsdorp,,-31.609420, 18.736125
9/2/097/0002,"Vondeling, Vanrhynsdorp District",,Vanrhynsdorp,Vanrhynsdorp,,,
9/2/097/0001,"Rock Paintings, Wiedou, Vanrhynsdorp District",,Vanrhynsdorp,Vanrhynsdorp,,,
9/2/096/0024,"Anhalt-Schmidt Parsonage, Burg Street, Haarlem ",,Haarlem,Uniondale,National Monument,,
9/2/096/0021,"18 Victoria Street, Uniondale",,Uniondale,Uniondale,,-33.654577, 23.127144
9/2/096/0020,"2 Victoria Street, Uniondale",,Uniondale,Uniondale,,-33.653927, 23.128690
9/2/096/0019,"14 Victoria Street, Uniondale",,Uniondale,Uniondale,National Monument,-33.655425, 23.125716
9/2/096/0016,"35 Voortrekker Street, Uniondale",,Uniondale,Uniondale,,-33.656880, 23.125998
9/2/096/0014,"Standard Bank, 31 Voortrekker Street, Uniondale",,Uniondale,Uniondale,,-33.655698, 23.128845
9/2/096/0013,"Police Station and Magistrate's Court, 51 Voortrekker Street, Uniondale ",,Uniondale,Uniondale,,-33.657213, 23.125768
9/2/096/0012,"Old Synagogue, Victoria Street, Uniondale",,Uniondale,Uniondale,Pending Declaration,-33.656071, 23.124914
9/2/096/0011,"Prince Alfred's Pass, Uniondale District",,Uniondale,Uniondale,,-33.833332, 23.166664
9/2/096/0010,"Anglican Cemetery, Uniondale",,Uniondale,Uniondale,Provincial Monument,-33.656099, 23.128399
9/2/096/0004,"Dutch Reformed Church, Kerk Street, Uniondale",,Uniondale,Uniondale,,-33.658158, 23.126872
9/2/096/0003,"HAARLEM, UNIONDALE DISTRICT, GENERAL",,Uniondale,Uniondale,,,
9/2/096/0002,"UNIONDALE MUNICIPAL AREA, GENERAL",,Uniondale,Uniondale,,,
9/2/096/0001,"UNIONDALE MAGISTERIAL DISTRICT, GENERAL",,Uniondale,Uniondale,National Monument,,
9/2/076/0033,"Grave of Lt. Klue, Farm Riemhoogte, Prince Albert District",,Prince Albert,Prince Albert,,,
9/2/076/0032,"PRINCE ALBERT MAGISTERIAL DISTRICT, GENERAL",,Prince Albert,Prince Albert,,,
9/2/076/0028,"Klaarstroom General, Prince Albert District",,Prince Albert,Prince Albert,,,
9/2/076/0027,"Erf 1513, Church Street, Prince Albert",,Prince Albert,Prince Albert,,,
9/2/076/0026,"Grave of Private W Calver, Goeiemoed, Prince Albert District",,Prince Albert,Prince Albert,,,
9/2/076/0025,"Anglican Church Cemetery, Klaarstroom, Prince Albert District",,Prince Albert,Prince Albert,,,
9/2/076/0024,"Conservation area, Prince Albert",,Prince Albert,Prince Albert,,,
9/2/076/0023,"Military Graves, Leeu-Gamka, Prince Albert District",,Prince Albert,Prince Albert,National Monument,,
9/2/076/0013,"Swartberg Pass, Prince Albert District",,Prince Albert,Prince Albert,Pending Declaration,-33.352108, 22.046461
9/2/076/0012,"Krige House, 24 Church Street, Prince Albert",,Prince Albert,Prince Albert,,-33.226171, 22.030323
9/2/076/0011,"PRINCE ALBERT MUNICIPAL AREA, GENERAL",,Prince Albert,Prince Albert,,,
9/2/076/0010,"Farm Klein Sleutelfontein (Part of Vrolikheid), Prince Albert District",,Prince Albert,Prince Albert,,,
9/2/076/0009,"Witbergie Rockshelter, Tierberg, Prince Albert District",,Prince Albert,Prince Albert,National Monument,-33.138340, 22.252227
9/2/076/0007,"Scholtzkloof, Prince Albert District",,Prince Albert,Prince Albert,National Monument,,
9/2/076/0005,"Historical Graveyard, John Nutt se Draai, Prince Albert",,Prince Albert,Prince Albert,Pending Declaration,,
9/2/076/0001,"2 Church Street, Prince Albert",,Prince Albert,Prince Albert,,-33.232567, 22.031317
9/2/072/0026,"PORTERVILLE MUNICIPAL AREA, GENERAL",,Porterville,Picketberg,,,
9/2/072/0025,"DWARSKERSBOS GENERAL, PIKETBERG DISTRICT",,Piketberg,Piketberg,,,
9/2/072/0024,"Doornboom Farmstead, Piketberg District",,Piketberg,Piketberg,,,
9/2/072/0023,"PIKETBERG MAGISTERIAL DISTRICT, GENERAL",,Velddrif,Piketberg,,,
9/2/072/0022,"VELDDRIF MUNICIPAL AREA, GENERAL",,Piketberg,Piketberg,Pending Declaration,,
9/2/072/0021,"Dunn's Castle, Piketberg District",,Piketberg,Piketberg,,-32.913929, 18.757478
9/2/072/0020,"Klaarefontein, Piketberg District",,Piketberg,Piketberg,,,
9/2/072/0019,"16-18 Main Street, Piketberg",,Piketberg,Piketberg,,-32.906754, 18.755519
9/2/072/0018,"Fishhouse Museum, Velddrif, Piketberg District",,Piketberg,Piketberg,National Monument,,
9/2/072/0014,"Deze Hoek, Piketberg District",,Piketberg,Piketberg,,-32.863348, 18.748154
9/2/072/0013,"Archaeological excavations, Piketberg",,Piketberg,Piketberg,National Monument,,
9/2/072/0011,"Rock painting of galleon, Heidedal Farm, Porterville",,Porterville,Piketberg,National Monument,,
9/2/072/0009,"PIKETBERG MUNICIPAL AREA, GENERAL",,Piketberg,Piketberg,,,
9/2/072/0008,"Fisherman's Cottage, 71 Voortrekker Road, Velddrif, Piketberg",,Velddrif,Piketberg,,-32.913806, 18.755274
9/2/072/0007,"Old Municipal Cemetery, Piketberg",,Piketberg,Piketberg,,,
